,Load,Load forecast
2020-01-01 00:00:00+01:00,44358.02,46652.97
2020-01-01 00:15:00+01:00,44110.13,46132.91
2020-01-01 00:30:00+01:00,43794.92,45651.74
2020-01-01 00:45:00+01:00,43610.84,45157.45
2020-01-01 01:00:00+01:00,43471.87,44316.96
2020-01-01 01:15:00+01:00,43256.55,44163.65
2020-01-01 01:30:00+01:00,42874.76,43656.33
2020-01-01 01:45:00+01:00,42583.56,43320.3
2020-01-01 02:00:00+01:00,42401.86,43106.09
2020-01-01 02:15:00+01:00,42091.79,42961.14
2020-01-01 02:30:00+01:00,41673.92,42871.95
2020-01-01 02:45:00+01:00,41411.68,42813.11
2020-01-01 03:00:00+01:00,41126.54,42843.18
2020-01-01 03:15:00+01:00,40800.92,42909.5
2020-01-01 03:30:00+01:00,40546.34,42821.22
2020-01-01 03:45:00+01:00,40332.78,42769.43
2020-01-01 04:00:00+01:00,40793.28,42862.2
2020-01-01 04:15:00+01:00,40671.77,42971.53
2020-01-01 04:30:00+01:00,40678.19,42952.76
2020-01-01 04:45:00+01:00,40582.37,43024.54
2020-01-01 05:00:00+01:00,40710.44,43041.6
2020-01-01 05:15:00+01:00,40432.14,42763.86
2020-01-01 05:30:00+01:00,40433.59,42470.39
2020-01-01 05:45:00+01:00,40175.85,42130.94
2020-01-01 06:00:00+01:00,39453.36,41181.97
2020-01-01 06:15:00+01:00,39321.91,41008.83
2020-01-01 06:30:00+01:00,39280.04,40996.56
2020-01-01 06:45:00+01:00,39472.19,41091.93
2020-01-01 07:00:00+01:00,39703.11,41360.65
2020-01-01 07:15:00+01:00,39969.12,41764.97
2020-01-01 07:30:00+01:00,39937.43,42684.82
2020-01-01 07:45:00+01:00,39996.08,43543.24
2020-01-01 08:00:00+01:00,40248.35,44277.41
2020-01-01 08:15:00+01:00,40450.9,44928.74
2020-01-01 08:30:00+01:00,40596.35,45174.93
2020-01-01 08:45:00+01:00,41182.18,45548.99
2020-01-01 09:00:00+01:00,41867.45,46855.83
2020-01-01 09:15:00+01:00,42458.92,47778.72
2020-01-01 09:30:00+01:00,43015.54,48232.35
2020-01-01 09:45:00+01:00,43938.99,48351.66
2020-01-01 10:00:00+01:00,44348.8,49097.26
2020-01-01 10:15:00+01:00,44736.1,49594.11
2020-01-01 10:30:00+01:00,45235.68,49889.03
2020-01-01 10:45:00+01:00,45743.08,50337.27
2020-01-01 11:00:00+01:00,46484.05,50903.45
