pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_critvals,pit_ad_siglevels,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.30000000000000004,1.887615334761536e-20,8.922769333333333,2.2648283248827283e-10,1.509299218503628,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1020.270876189777,2.4556282680760155e-218,1577.5860881920523,0.0,1979.5438182006392,0.0,z=Phi^{-1}(u),1246.761450285916,0.908,0,250,250,250,non_overlapping
0.36600000000000005,1.571062398701859e-30,14.361101333333334,8.94554319508245e-10,6.7020483339362045,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1048.5605398297375,1.840444935131968e-224,1770.0965703832217,0.0,2416.8637204878123,0.0,z=Phi^{-1}(u),1471.9077438535132,0.988,250,500,250,250,non_overlapping
0.854,9.288593418378883e-209,71.84448933333019,2.8013882102939647e-08,33.27198255126501,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",346.1174630307958,1.1993908865678204e-72,599.9040730982352,1.8462584355757272e-122,820.6130314769148,5.942443646278175e-161,z=Phi^{-1}(u),4217.297636611888,0.212,500,750,250,250,non_overlapping
0.448,2.7398499727190613e-46,28.174233333333316,2.186232861411952e-09,2.940111300126574,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",802.6849778494632,3.0368990759244362e-171,1355.3176978899774,4.394422219830511e-285,1751.7440029348322,0.0,z=Phi^{-1}(u),2503.965962853959,0.556,750,1000,250,250,non_overlapping
0.6719999999999999,5.258335588440849e-112,46.601889333333325,1.8537865686951704e-08,5.234417844193615,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",583.23705512234,8.462546937182156e-124,890.006442682429,9.00970188779482e-185,1043.262798211739,2.3036472846760193e-208,z=Phi^{-1}(u),2376.300624962202,0.744,1000,1250,250,250,non_overlapping
0.362,7.428826458981814e-30,14.061897333333333,6.135956187591773e-10,1.124409277544487,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1008.1706010135084,1.0231683882624226e-215,1653.8408504138536,0.0,2168.4675182316305,0.0,z=Phi^{-1}(u),1490.927683864263,0.892,1250,1500,250,250,non_overlapping
0.2,3.058649177480583e-09,3.6039893333333337,2.8417727060414677e-09,1.110592927644916,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",867.111201031483,3.4884121220008416e-185,1369.482536453398,3.846636367599749e-288,1815.9127139725283,0.0,z=Phi^{-1}(u),931.2167397719074,1.0,1500,1750,250,250,non_overlapping
0.14800000000000008,3.0364362222398156e-05,1.1008973333333332,0.0014076485685790008,5.899940492872673,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1140.0823153839792,2.7902053855881493e-244,2100.3947005254636,0.0,3483.2884196049126,0.0,z=Phi^{-1}(u),1153.3772498325504,1.0,1750,2000,250,250,non_overlapping
0.604,7.026657181056621e-88,40.75181333333333,1.3993504910381205e-08,4.651823857703505,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",808.8943287704117,1.3775091025596912e-172,1251.7701309234744,9.775002153238519e-263,1524.5103899347955,2.1931428162913e-311,z=Phi^{-1}(u),1963.2664430106363,0.88,2000,2250,250,250,non_overlapping
0.46,6.44139785209482e-49,19.929413333333333,7.790275091679177e-10,1.2759925044881584,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",815.9101187386846,4.180680731174989e-174,1396.1155879836674,6.84224229270683e-294,2234.9201527291257,0.0,z=Phi^{-1}(u),1208.8632419985227,0.992,2250,2500,250,250,non_overlapping
