empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.86,0,50,50,10,overlapping
0.82,10,60,50,10,overlapping
0.86,20,70,50,10,overlapping
0.9,30,80,50,10,overlapping
0.9,40,90,50,10,overlapping
0.94,50,100,50,10,overlapping
0.94,60,110,50,10,overlapping
0.92,70,120,50,10,overlapping
0.86,80,130,50,10,overlapping
0.8,90,140,50,10,overlapping
0.76,100,150,50,10,overlapping
0.8,110,160,50,10,overlapping
0.8,120,170,50,10,overlapping
0.84,130,180,50,10,overlapping
0.86,140,190,50,10,overlapping
0.9,150,200,50,10,overlapping
0.92,160,210,50,10,overlapping
0.92,170,220,50,10,overlapping
0.9,180,230,50,10,overlapping
0.88,190,240,50,10,overlapping
0.86,200,250,50,10,overlapping
0.86,210,260,50,10,overlapping
0.86,220,270,50,10,overlapping
0.86,230,280,50,10,overlapping
0.88,240,290,50,10,overlapping
0.9,250,300,50,10,overlapping
0.9,260,310,50,10,overlapping
0.92,270,320,50,10,overlapping
0.96,280,330,50,10,overlapping
0.98,290,340,50,10,overlapping
0.96,300,350,50,10,overlapping
0.96,310,360,50,10,overlapping
