empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.88,0,50,50,10,overlapping
0.92,10,60,50,10,overlapping
0.9,20,70,50,10,overlapping
0.86,30,80,50,10,overlapping
0.88,40,90,50,10,overlapping
0.9,50,100,50,10,overlapping
0.88,60,110,50,10,overlapping
0.86,70,120,50,10,overlapping
0.9,80,130,50,10,overlapping
0.86,90,140,50,10,overlapping
0.86,100,150,50,10,overlapping
0.88,110,160,50,10,overlapping
0.86,120,170,50,10,overlapping
0.88,130,180,50,10,overlapping
0.88,140,190,50,10,overlapping
0.88,150,200,50,10,overlapping
0.84,160,210,50,10,overlapping
0.84,170,220,50,10,overlapping
0.86,180,230,50,10,overlapping
0.9,190,240,50,10,overlapping
0.88,200,250,50,10,overlapping
0.88,210,260,50,10,overlapping
0.94,220,270,50,10,overlapping
0.9,230,280,50,10,overlapping
0.9,240,290,50,10,overlapping
0.92,250,300,50,10,overlapping
0.92,260,310,50,10,overlapping
0.92,270,320,50,10,overlapping
0.96,280,330,50,10,overlapping
0.94,290,340,50,10,overlapping
0.94,300,350,50,10,overlapping
0.98,310,360,50,10,overlapping
