empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.92,0,50,50,10,overlapping
0.9,10,60,50,10,overlapping
0.94,20,70,50,10,overlapping
0.94,30,80,50,10,overlapping
0.94,40,90,50,10,overlapping
0.94,50,100,50,10,overlapping
0.94,60,110,50,10,overlapping
0.92,70,120,50,10,overlapping
0.94,80,130,50,10,overlapping
0.92,90,140,50,10,overlapping
0.88,100,150,50,10,overlapping
0.9,110,160,50,10,overlapping
0.92,120,170,50,10,overlapping
0.9,130,180,50,10,overlapping
0.84,140,190,50,10,overlapping
0.88,150,200,50,10,overlapping
0.86,160,210,50,10,overlapping
0.8,170,220,50,10,overlapping
0.84,180,230,50,10,overlapping
0.9,190,240,50,10,overlapping
0.86,200,250,50,10,overlapping
0.86,210,260,50,10,overlapping
0.9,220,270,50,10,overlapping
0.84,230,280,50,10,overlapping
0.84,240,290,50,10,overlapping
0.88,250,300,50,10,overlapping
0.9,260,310,50,10,overlapping
0.92,270,320,50,10,overlapping
0.96,280,330,50,10,overlapping
0.96,290,340,50,10,overlapping
0.92,300,350,50,10,overlapping
0.92,310,360,50,10,overlapping
