empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.64,0,50,50,10,overlapping
0.7,10,60,50,10,overlapping
0.68,20,70,50,10,overlapping
0.66,30,80,50,10,overlapping
0.76,40,90,50,10,overlapping
0.7,50,100,50,10,overlapping
0.7,60,110,50,10,overlapping
0.72,70,120,50,10,overlapping
0.7,80,130,50,10,overlapping
0.7,90,140,50,10,overlapping
0.74,100,150,50,10,overlapping
0.7,110,160,50,10,overlapping
0.7,120,170,50,10,overlapping
0.74,130,180,50,10,overlapping
0.68,140,190,50,10,overlapping
0.66,150,200,50,10,overlapping
0.66,160,210,50,10,overlapping
0.64,170,220,50,10,overlapping
0.62,180,230,50,10,overlapping
0.68,190,240,50,10,overlapping
0.7,200,250,50,10,overlapping
0.72,210,260,50,10,overlapping
0.76,220,270,50,10,overlapping
0.76,230,280,50,10,overlapping
0.72,240,290,50,10,overlapping
0.74,250,300,50,10,overlapping
0.72,260,310,50,10,overlapping
0.7,270,320,50,10,overlapping
0.7,280,330,50,10,overlapping
0.68,290,340,50,10,overlapping
0.72,300,350,50,10,overlapping
0.74,310,360,50,10,overlapping
