empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.56,0,50,50,10,overlapping
0.5,10,60,50,10,overlapping
0.6,20,70,50,10,overlapping
0.54,30,80,50,10,overlapping
0.58,40,90,50,10,overlapping
0.58,50,100,50,10,overlapping
0.58,60,110,50,10,overlapping
0.52,70,120,50,10,overlapping
0.54,80,130,50,10,overlapping
0.56,90,140,50,10,overlapping
0.58,100,150,50,10,overlapping
0.6,110,160,50,10,overlapping
0.62,120,170,50,10,overlapping
0.56,130,180,50,10,overlapping
0.5,140,190,50,10,overlapping
0.5,150,200,50,10,overlapping
0.48,160,210,50,10,overlapping
0.44,170,220,50,10,overlapping
0.48,180,230,50,10,overlapping
0.48,190,240,50,10,overlapping
0.54,200,250,50,10,overlapping
0.56,210,260,50,10,overlapping
0.64,220,270,50,10,overlapping
0.64,230,280,50,10,overlapping
0.7,240,290,50,10,overlapping
0.66,250,300,50,10,overlapping
0.68,260,310,50,10,overlapping
0.68,270,320,50,10,overlapping
0.6,280,330,50,10,overlapping
0.58,290,340,50,10,overlapping
0.52,300,350,50,10,overlapping
0.44,310,360,50,10,overlapping
