empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.7,0,50,50,10,overlapping
0.68,10,60,50,10,overlapping
0.68,20,70,50,10,overlapping
0.62,30,80,50,10,overlapping
0.64,40,90,50,10,overlapping
0.6,50,100,50,10,overlapping
0.64,60,110,50,10,overlapping
0.64,70,120,50,10,overlapping
0.68,80,130,50,10,overlapping
0.66,90,140,50,10,overlapping
0.7,100,150,50,10,overlapping
0.72,110,160,50,10,overlapping
0.76,120,170,50,10,overlapping
0.76,130,180,50,10,overlapping
0.72,140,190,50,10,overlapping
0.76,150,200,50,10,overlapping
0.72,160,210,50,10,overlapping
0.74,170,220,50,10,overlapping
0.7,180,230,50,10,overlapping
0.74,190,240,50,10,overlapping
0.72,200,250,50,10,overlapping
0.8,210,260,50,10,overlapping
0.78,220,270,50,10,overlapping
0.76,230,280,50,10,overlapping
0.76,240,290,50,10,overlapping
0.76,250,300,50,10,overlapping
0.74,260,310,50,10,overlapping
0.72,270,320,50,10,overlapping
0.78,280,330,50,10,overlapping
0.72,290,340,50,10,overlapping
0.74,300,350,50,10,overlapping
0.68,310,360,50,10,overlapping
