empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.7,0,50,50,10,overlapping
0.6,10,60,50,10,overlapping
0.58,20,70,50,10,overlapping
0.52,30,80,50,10,overlapping
0.5,40,90,50,10,overlapping
0.48,50,100,50,10,overlapping
0.54,60,110,50,10,overlapping
0.6,70,120,50,10,overlapping
0.6,80,130,50,10,overlapping
0.66,90,140,50,10,overlapping
0.72,100,150,50,10,overlapping
0.72,110,160,50,10,overlapping
0.72,120,170,50,10,overlapping
0.76,130,180,50,10,overlapping
0.68,140,190,50,10,overlapping
0.62,150,200,50,10,overlapping
0.62,160,210,50,10,overlapping
0.52,170,220,50,10,overlapping
0.54,180,230,50,10,overlapping
0.56,190,240,50,10,overlapping
0.6,200,250,50,10,overlapping
0.56,210,260,50,10,overlapping
0.66,220,270,50,10,overlapping
0.62,230,280,50,10,overlapping
0.62,240,290,50,10,overlapping
0.6,250,300,50,10,overlapping
0.62,260,310,50,10,overlapping
0.64,270,320,50,10,overlapping
0.62,280,330,50,10,overlapping
0.64,290,340,50,10,overlapping
0.66,300,350,50,10,overlapping
0.66,310,360,50,10,overlapping
