pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode,governance_label,reason_codes,reason_summary
0.166,1.7261388018052337e-06,2.3426453333317814,2.0068713220133816e-06,18.480628841932457,0.01,286.7657653819611,7.002456271574627e-60,288.3516752462278,4.494901504480978e-56,300.1817942165578,7.420611514186936e-52,z=Phi^{-1}(u),0.7786341356007899,1108.3997757071916,0.876,0,250,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=1.73e-06, KS=0.1660).; Independence strongly rejected (min Ljung-Box p=7e-60, |ACF lag-1|=0.7786).; Coverage mildly off-target by 0.024 (target=0.900)."
0.12,0.0013550102442608,1.1253453333331014,0.0012339855060253,8.797774433832501,0.01,375.2537772924287,6.374577061420298e-79,393.0948475084197,2.773830318359585e-78,397.8741629968575,5.641579765840791e-72,z=Phi^{-1}(u),0.8062685068364788,1380.686557709096,0.804,50,300,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'undercoverage']","Uniformity strongly rejected (min p=0.00123, KS=0.1200).; Independence strongly rejected (min Ljung-Box p=6.37e-79, |ACF lag-1|=0.8063).; Coverage off-target by 0.096 (target=0.900)."
0.1699999999999999,8.720933843779303e-07,1.9336453333331527,1.7040529862621945e-05,7.660305718696918,0.01,410.9100680667843,1.3201347716975697e-86,443.0991417377873,6.191453732807253e-89,457.2279680471893,2.5335697997476204e-84,z=Phi^{-1}(u),0.8317987038020143,1421.4191519030337,0.788,100,350,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'undercoverage']","Uniformity strongly rejected (min p=8.72e-07, KS=0.1700).; Independence strongly rejected (min Ljung-Box p=6.19e-89, |ACF lag-1|=0.8318).; Coverage off-target by 0.112 (target=0.900)."
0.0959999999999999,0.0186040510745638,0.3925093333332934,0.0755493003862831,3.505524377576535,0.01,574.8116582987942,5.592501901971429e-122,679.4939274305005,1.5823686937845818e-139,696.6158410738346,1.150892703061186e-134,z=Phi^{-1}(u),0.8779477766202831,1355.435023823434,0.828,150,400,250,50,overlapping,RED,"['PIT_uniformity_warn', 'ACF_dependence_fail', 'undercoverage']","Uniformity weakly rejected (min p=0.0186).; Independence strongly rejected (min Ljung-Box p=1.58e-139, |ACF lag-1|=0.8779).; Coverage off-target by 0.072 (target=0.900)."
0.072,0.1425669535852258,0.2707453333333293,0.1638170425445293,0.9151513391443872,0.0208193204495937,708.9934996217355,5.5800262752077376e-151,1089.3869872750454,1.0237973887971171e-227,1307.9091229614737,5.988482008366895e-265,z=Phi^{-1}(u),0.8866768077546386,1322.0948903268022,0.852,200,450,250,50,overlapping,RED,"['ACF_dependence_fail', 'coverage_warn']","Independence strongly rejected (min Ljung-Box p=5.99e-265, |ACF lag-1|=0.8867).; Coverage mildly off-target by 0.048 (target=0.900)."
0.058,0.3559457059095403,0.1046693333333293,0.5628126576635811,0.4001993920265363,0.15,664.7267232030711,2.075716961822703e-141,984.6094760467528,3.863932256397402e-205,1154.733764887131,3.5716077783852014e-232,z=Phi^{-1}(u),0.8808070999012333,1325.79325185183,0.836,250,500,250,50,overlapping,RED,"['ACF_dependence_fail', 'undercoverage']","Independence strongly rejected (min Ljung-Box p=3.57e-232, |ACF lag-1|=0.8808).; Coverage off-target by 0.064 (target=0.900)."
0.1159999999999999,0.0021837382351525,1.1211733333333334,0.0012620091249065,0.6730023785463572,0.0818171989477862,699.5165365982955,6.248720166765736e-149,981.4270548085292,1.872712212669661e-204,1136.1126078519312,3.4116509335661746e-228,z=Phi^{-1}(u),0.9348652080284116,1082.6489231083942,0.932,300,550,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=0.00126, KS=0.1160).; Independence strongly rejected (min Ljung-Box p=3.41e-228, |ACF lag-1|=0.9349).; Coverage mildly off-target by 0.032 (target=0.900)."
0.24,3.706006465531486e-13,6.104797333333334,1.1170064873056162e-11,0.2072421446158898,0.15,480.5312407289544,1.2707983429909943e-101,517.1248973432342,9.650512949371604e-105,603.7510839497054,4.665581608549531e-115,z=Phi^{-1}(u),0.8975007612955266,996.754708958863,0.94,350,600,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=3.71e-13, KS=0.2400).; Independence strongly rejected (min Ljung-Box p=4.67e-115, |ACF lag-1|=0.8975).; Coverage mildly off-target by 0.040 (target=0.900)."
0.254,1.0505011839469013e-14,7.267181333333334,3.9601866230754007e-10,1.3705391654625316,0.01,479.4295719165696,2.1969085868593152e-101,487.9467903846621,1.6596206743060602e-98,508.7025833539041,4.378862099897997e-95,z=Phi^{-1}(u),0.897308576287623,1067.5695018696445,0.896,400,650,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=1.05e-14, KS=0.2540).; Independence strongly rejected (min Ljung-Box p=2.2e-101, |ACF lag-1|=0.8973)."
0.2019999999999999,2.028919410194914e-09,3.6839053333333336,1.8993251416077332e-09,1.99896893903599,0.01,594.589016514052,2.985170073693724e-126,657.9462370801126,6.645336163169076e-135,678.8884016029818,6.457194539719784e-131,z=Phi^{-1}(u),0.9163987302826287,983.8463347989864,0.912,450,700,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=1.9e-09, KS=0.2020).; Independence strongly rejected (min Ljung-Box p=6.65e-135, |ACF lag-1|=0.9164)."
