pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.06400000000000002,0.2467324500849858,0.18356133333243335,0.3018378886902803,17.581978537666146,0.01,241.26770327707044,4.1052571849528913e-50,293.31505328510934,4.0213988726341586e-57,309.5188780639255,9.158409105134127e-54,z=Phi^{-1}(u),0.7872716155484445,218.27995407555872,0.872,0,250,250,50,overlapping
0.06799999999999999,0.18911898321542842,0.2802213333332693,0.1538326532076968,4.779787794357844,0.01,174.81659454267572,6.8419976582757e-36,177.863230217229,6.505123182027835e-33,184.06612399321935,1.5503209050708532e-28,z=Phi^{-1}(u),0.6825321685168266,219.4209753359611,0.88,50,300,250,50,overlapping
0.11399999999999999,0.0027553557925281188,1.0679013333332694,0.0016819373781390423,4.074082872210823,0.01,156.96854314241122,4.3805153859550926e-32,158.50890593100152,6.581197420341517e-29,173.84478916117644,1.546498609436805e-26,z=Phi^{-1}(u),0.6639959462958421,204.25317349235084,0.892,100,350,250,50,overlapping
0.12,0.0013550102442608874,0.7004453333332692,0.012637422729878667,4.417491886433368,0.01,176.20912605969613,3.4507110898999855e-36,179.62744237183315,2.7997011348844912e-33,191.43036521109684,5.531815998259513e-30,z=Phi^{-1}(u),0.6795932546569966,223.29769018999093,0.88,150,400,250,50,overlapping
0.122,0.0010608632709633928,0.8965933333332813,0.004267755494046455,5.204681759805453,0.01,251.17088274193551,3.0823743559264858e-52,263.55224339777686,7.634409520982172e-51,271.36315001106846,5.454230370521158e-46,z=Phi^{-1}(u),0.7471694817758864,296.4355845055204,0.86,200,450,250,50,overlapping
0.192,1.514511144371369e-08,2.024849333333281,1.0566262341193955e-05,7.106894614425983,0.01,253.14832916119488,1.1602635572984592e-52,259.6781668093414,4.994534595391974e-50,270.16217365817045,9.55696779596493e-46,z=Phi^{-1}(u),0.732764098217822,323.032737531679,0.868,250,500,250,50,overlapping
0.23199999999999998,2.580899025546192e-12,2.907293333333281,1.0587834020636677e-07,9.011649502508021,0.01,317.40775785690835,1.8076922407730946e-66,321.9418576771447,3.5387594741838554e-63,329.837725774926,6.2593739474071064e-58,z=Phi^{-1}(u),0.7582440334632096,320.6065818795879,0.876,300,550,250,50,overlapping
0.24,3.706006465531515e-13,3.5070013333332812,4.6801804653995305e-09,9.897887667597615,0.01,292.0242689408743,5.189634858469958e-61,295.5187462853802,1.376462899603381e-57,305.7713130365831,5.349385202508056e-53,z=Phi^{-1}(u),0.7549417457773911,308.3007319043705,0.888,350,600,250,50,overlapping
0.176,3.0356281553150914e-07,2.0593253333332813,8.821281636484102e-06,7.124574146239411,0.01,296.2081102792251,6.543820792740505e-62,300.0287480372826,1.5330712001339812e-58,307.8995906146432,1.9637246760025524e-53,z=Phi^{-1}(u),0.7557935653047362,322.1849480094648,0.88,400,650,250,50,overlapping
0.09399999999999997,0.022540656815329782,0.43450533333329733,0.05858977661294984,4.439734141037121,0.01,300.3820782305533,8.289349826301214e-63,307.2929404561127,4.4611262182623835e-60,331.4372388406684,2.9375851414926056e-58,z=Phi^{-1}(u),0.7417813006312544,261.0835615095054,0.9,450,700,250,50,overlapping
0.08200000000000002,0.06550144780628508,0.24042933333333333,0.20114520944329906,0.7098124609768774,0.06660642108393494,229.57675496213093,1.3179970520327607e-47,231.5931061262464,3.980136993907779e-44,234.30811883882777,1.6371123490092035e-38,z=Phi^{-1}(u),0.7323959067258894,220.11922393769854,0.916,500,750,250,50,overlapping
